title,author,genre,rating,image_url
The Phantom Tollbooth,Norton Juster,Fantasy,4.2,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1558858485i/378.jpg
Libra,Don DeLillo,Fiction,4.03,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327935630i/400.jpg
Against the Day,Thomas Pynchon,Fiction,4.03,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1276429450i/409.jpg
Mason & Dixon,Thomas Pynchon,Fiction,4.12,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1657594655i/413.jpg
Gravity’s Rainbow,Thomas Pynchon,Fiction,4.0,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1657594227i/415.jpg
Cryptonomicon,Neal Stephenson,Fiction,4.24,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327931476i/816.jpg
The Confusion,Neal Stephenson,Fiction,4.27,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1407706997i/822.jpg
"The Diamond Age: Or, a Young Lady's Illustrated Primer",Neal Stephenson,Science Fiction,4.16,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388180931i/827.jpg
Snow Crash,Neal Stephenson,Science Fiction,4.02,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1601222163i/830.jpg
The Westing Game,Ellen Raskin,Mystery,4.0,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1356850909i/902.jpg
Memoirs of a Geisha,Arthur Golden,Fiction,4.15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1409595968i/929.jpg
Shibumi,Trevanian,Fiction,4.18,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388187747i/1059.jpg
Trevanian: Four Complete Novels: The Eiger Sanction / The Loo Sanction / The Main / Shibumi,Trevanian,Thriller,4.37,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1341774197i/1061.jpg
The Shadow of the Wind,Carlos Ruiz Zafón,Fiction,4.3,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1628791882i/1232.jpg
Sobre héroes y tumbas,Ernesto Sabato,Fiction,4.26,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1322161433i/1677.jpg
Wild Fire,Nelson DeMille,Fiction,4.05,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442668457i/1849.jpg
Pride and Prejudice,Jane Austen,Fiction,4.29,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320399351i/1885.jpg
Little Women,Louisa May Alcott,Fiction,4.15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1562690475i/1934.jpg
The High Window,Raymond Chandler,Mystery,4.04,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1466754245i/2049.jpg
"Farewell, My Lovely",Raymond Chandler,Mystery,4.1,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1465778099i/2050.jpg
The Long Goodbye,Raymond Chandler,Mystery,4.19,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1655478371i/2054.jpg
Atlas Shrugged & The Fountainhead,Ayn Rand,Fiction,4.1,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1159932401i/2115.jpg
Flesh and Blood,Michael Cunningham,Fiction,4.05,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442716896i/2139.jpg
Persuasion,Jane Austen,Fiction,4.15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1385172413i/2156.jpg
Middlesex,Jeffrey Eugenides,Fiction,4.03,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1437029776i/2187.jpg
Tandia,Bryce Courtenay,Fiction,4.09,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388357901i/2336.jpg
Jessica,Bryce Courtenay,Fiction,4.24,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388176411i/2339.jpg
The Bone Collector,Jeffery Deaver,Mystery,4.2,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1437538512i/2373.jpg
Witches Abroad,Terry Pratchett,Fantasy,4.25,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1403326937i/2442.jpg
Blindness,José Saramago,Fiction,4.17,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327866409i/2526.jpg
The Year of the Death of Ricardo Reis,José Saramago,Fiction,4.0,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348284177i/2536.jpg
Cities of Salt,Abdul Rahman Munif,Fiction,4.06,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1644691098i/2722.jpg
Anansi Boys,Neil Gaiman,Fantasy,4.04,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1479778049i/2744.jpg
Bridge to Terabithia,Katherine Paterson,Fiction,4.05,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1618159917i/2839.jpg
The Bridge on the Drina,Ivo Andrić,Fiction,4.33,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1391505254i/3140.jpg
Corelli’s Mandolin,Louis de Bernières,Fiction,4.02,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1479680795i/3388.jpg
The War of Don Emmanuel's Nether Parts,Louis de Bernières,Fiction,4.06,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1404216653i/3394.jpg
The Troublesome Offspring of Cardinal Guzmán,Louis de Bernières,Fiction,4.13,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1404216576i/3400.jpg
The Thorn Birds,Colleen McCullough,Fiction,4.24,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1548530867i/3412.jpg
The Rescue,Nicholas Sparks,Romance,4.12,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1385055753i/3462.jpg
A Bend in the Road,Nicholas Sparks,Romance,4.04,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388453919i/3463.jpg
A Walk to Remember,Nicholas Sparks,Romance,4.2,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1385738968i/3473.jpg
Twelve Sharp,Janet Evanovich,Mystery,4.16,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1316727699i/3507.jpg
The Adventures of Sherlock Holmes,Arthur Conan Doyle,Mystery,4.3,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1164045516i/3590.jpg
The Giver,Lois Lowry,Young Adult,4.12,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1342493368i/3636.jpg
Ilium,Dan Simmons,Science Fiction,4.04,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1390894862i/3973.jpg
The Terror,Dan Simmons,Horror,4.08,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442713631i/3974.jpg
Endymion,Dan Simmons,Science Fiction,4.19,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1329611385i/3977.jpg
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,Fiction,4.16,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327784751i/3980.jpg
The Amazing Adventures of Kavalier & Clay,Michael Chabon,Fiction,4.18,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1503806495i/3985.jpg
The Burden of Proof,Scott Turow,Fiction,4.06,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1425756834i/4035.jpg
The Cold Six Thousand,James Ellroy,Fiction,4.03,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1403182681i/4191.jpg
East of Eden,John Steinbeck,Fiction,4.41,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1639969375i/4406.jpg
American Gods,Neil Gaiman,Fantasy,4.11,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1258417001i/4407.jpg
A Prayer for Owen Meany,John Irving,Fiction,4.24,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1260470010i/4473.jpg
Marina,Carlos Ruiz Zafón,Fiction,4.12,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1610977171i/4516.jpg
Carter Beats the Devil,Glen David Gold,Fiction,4.09,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1428327514i/4599.jpg
The Cider House Rules,John Irving,Fiction,4.16,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327962519i/4687.jpg
The Winter of Our Discontent,John Steinbeck,Fiction,4.0,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388197029i/4796.jpg
Cannery Row,John Steinbeck,Fiction,4.06,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388188936i/4799.jpg
Kafka on the Shore,Haruki Murakami,Fiction,4.13,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1429638085i/4929.jpg
The Brothers Karamazov,Fyodor Dostoevsky,Fiction,4.37,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1427728126i/4934.jpg
What Is the What,Dave Eggers,Fiction,4.14,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328837457i/4952.jpg
Wolves of the Calla,Stephen King,Fantasy,4.2,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1419360231i/4978.jpg
Breakfast of Champions,Kurt Vonnegut Jr.,Fiction,4.07,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327934446i/4980.jpg
Slaughterhouse-Five,Kurt Vonnegut Jr.,Fiction,4.1,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1440319389i/4981.jpg
The Sirens of Titan,Kurt Vonnegut Jr.,Fiction,4.15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1419363185i/4982.jpg
Welcome to the Monkey House,Kurt Vonnegut Jr.,Fiction,4.13,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1533340572i/4985.jpg
Anita Diamant's The Red Tent: A Reader's Guide,Ann Finding,Fiction,4.15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388536004i/4991.jpg
The Dark Tower,Stephen King,Fantasy,4.28,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1372296329i/5091.jpg
Dark Tower Boxed Set,Stephen King,Fantasy,4.5,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432377629i/5092.jpg
The Drawing of the Three,Stephen King,Fantasy,4.23,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1370918050i/5094.jpg
Wizard and Glass,Stephen King,Fantasy,4.26,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327946510i/5096.jpg
"Raise High the Roof Beam, Carpenters & Seymour: An Introduction",J.D. Salinger,Fiction,4.11,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1390770647i/5114.jpg
Where the Heart Is,Billie Letts,Fiction,4.03,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327959469i/5168.jpg
A Fine Balance,Rohinton Mistry,Fiction,4.37,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1551173390i/5211.jpg
A Christmas Carol,Charles Dickens,Fiction,4.08,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1406512317i/5326.jpg
The Rainmaker,John Grisham,Fiction,4.0,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388265477i/5349.jpg
The Firm,John Grisham,Fiction,4.08,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1418465200i/5358.jpg
The Client,John Grisham,Fiction,4.05,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554192326i/5359.jpg
The Great Book of Amber,Roger Zelazny,Fantasy,4.31,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1165519096i/5367.jpg
'Salem's Lot,Stephen King,Horror,4.26,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320478491i/5413.jpg
Brave New World / Brave New World Revisited,Aldous Huxley,Fiction,4.16,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1331315450i/5479.jpg
Palace Walk / Palace of Desire / Sugar Street,Naguib Mahfouz,Fiction,4.46,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386924721i/5488.jpg
Dear John,Nicholas Sparks,Romance,4.04,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1397749854i/5526.jpg
All the King’s Men,Robert Penn Warren,Fiction,4.09,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1342193852i/5527.jpg
Demons,Fyodor Dostoevsky,Fiction,4.3,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1524586008i/5695.jpg
The Complete Short Novels,Anton Chekhov,Fiction,4.47,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1657545320i/5697.jpg
Rainbow Six,Tom Clancy,Fiction,4.12,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388179305i/5720.jpg
Fight Club,Chuck Palahniuk,Fiction,4.19,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1357128997i/5759.jpg
The Hobbit,J.R.R. Tolkien,Fantasy,4.29,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546071216i/5907.jpg
Narcissus and Goldmund,Hermann Hesse,Fiction,4.22,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1374680750i/5954.jpg
The Road Back,Erich Maria Remarque,Fiction,4.33,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347610621i/6058.jpg
"The Border Trilogy: All the Pretty Horses, The Crossing, Cities of the Plain",Cormac McCarthy,Fiction,4.45,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1390950551i/6163.jpg
Howl’s Moving Castle,Diana Wynne Jones,Fantasy,4.29,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630502935i/6294.jpg
Charlie and the Chocolate Factory,Roald Dahl,Fiction,4.16,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1309211401i/6310.jpg
The BFG,Roald Dahl,Fantasy,4.23,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327872673i/6319.jpg
The Witches,Roald Dahl,Fantasy,4.18,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1351707720i/6327.jpg
Four to Score,Janet Evanovich,Mystery,4.17,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1311983211i/6422.jpg
High Five,Janet Evanovich,Mystery,4.18,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1270849101i/6423.jpg
Seven Up,Janet Evanovich,Mystery,4.15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1311720512i/6424.jpg
Hard Eight,Janet Evanovich,Mystery,4.17,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1479699438i/6425.jpg
Two for the Dough,Janet Evanovich,Mystery,4.11,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1330926461i/6427.jpg
The Bell Jar,Sylvia Plath,Fiction,4.06,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554582218i/6514.jpg
Postmortem,Patricia Cornwell,Mystery,4.03,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1341835831i/6534.jpg
The Body Farm,Patricia Cornwell,Mystery,4.07,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1389834053i/6539.jpg
The Big Bad Wolf,James Patterson,Mystery,4.03,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388328154i/6588.jpg
Infinite Jest,David Foster Wallace,Fiction,4.25,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1446876799i/6759.jpg
Ghostwritten,David Mitchell,Fiction,4.05,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320415093i/6819.jpg
One for the Money,Janet Evanovich,Mystery,4.05,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1316730230i/6853.jpg
Three to Get Deadly,Janet Evanovich,Mystery,4.15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1311727539i/6854.jpg
Three Plums In One,Janet Evanovich,Mystery,4.32,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442950746i/6857.jpg
Hot Six,Janet Evanovich,Mystery,4.19,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388177839i/6858.jpg
Emma,Jane Austen,Fiction,4.05,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1373627931i/6969.jpg
The Kalahari Typing School for Men,Alexander McCall Smith,Mystery,4.01,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1380393680i/7036.jpg
In the Company of Cheerful Ladies,Alexander McCall Smith,Mystery,4.09,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1422951731i/7053.jpg
The Good Husband of Zebra Drive,Alexander McCall Smith,Mystery,4.08,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1439612347i/7058.jpg
The World According to Garp,John Irving,Fiction,4.1,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1447234581i/7069.jpg
Do Androids Dream of Electric Sheep?,Philip K. Dick,Science Fiction,4.09,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1519481930i/7082.jpg
The Big Money,John Dos Passos,Fiction,4.02,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1398915355i/7103.jpg
Crime and Punishment,Fyodor Dostoevsky,Fiction,4.27,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1382846449i/7144.jpg
La Dame aux Camélias,Alexandre Dumas fils,Fiction,4.03,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1165607713i/7186.jpg
The Way the Crow Flies,Ann-Marie MacDonald,Fiction,4.12,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1433037834i/7199.jpg
As the Crow Flies,Jeffrey Archer,Fiction,4.14,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388202784i/7201.jpg
The Poisonwood Bible,Barbara Kingsolver,Fiction,4.1,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1644073807i/7244.jpg
Unfinished Tales of Númenor and Middle-Earth,J.R.R. Tolkien,Fantasy,4.01,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1165611104i/7329.jpg
The Silmarillion,J.R.R. Tolkien,Fantasy,4.01,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1610045590i/7332.jpg
Pardonable Lies,Jacqueline Winspear,Mystery,4.09,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442622025i/7432.jpg
Suzanne's Diary for Nicholas,James Patterson,Romance,4.17,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1404736778i/7494.jpg
The Time Quartet Box Set,Madeleine L'Engle,Fantasy,4.35,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1165637344i/7619.jpg
The Good Soldier Švejk,Jaroslav Hašek,Fiction,4.1,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1624922804i/7629.jpg
Jurassic Park,Michael Crichton,Science Fiction,4.1,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1165637966i/7677.jpg
"Ahab's Wife, or The Star-Gazer",Sena Jeter Naslund,Fiction,4.03,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442524251i/7742.jpg
Fear and Loathing in Las Vegas,Hunter S. Thompson,Fiction,4.07,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1703312483i/7745.jpg
Pale Fire,Vladimir Nabokov,Fiction,4.17,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388155863i/7805.jpg
The Bourne Identity,Robert Ludlum,Fiction,4.05,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1335860740i/7869.jpg
Speaker for the Dead,Orson Scott Card,Science Fiction,4.1,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1295660894i/7967.jpg
Taggerung,Brian Jacques,Fantasy,4.15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1429977971i/7976.jpg
Pearls of Lutra,Brian Jacques,Fantasy,4.03,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388786457i/7980.jpg
The Long Patrol,Brian Jacques,Fantasy,4.14,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1437625105i/7981.jpg
Salamandastron,Brian Jacques,Fantasy,4.09,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386924804i/7983.jpg
The Legend of Luke,Brian Jacques,Fantasy,4.03,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442546166i/7987.jpg
Mariel of Redwall,Brian Jacques,Fantasy,4.0,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1299761476i/7993.jpg
Rakkety Tam,Brian Jacques,Fantasy,4.16,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388437566i/7994.jpg
Redwall,Brian Jacques,Fantasy,4.14,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327877368i/7996.jpg
Castaways of the Flying Dutchman,Brian Jacques,Fantasy,4.0,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1390076370i/7997.jpg
Marlfox,Brian Jacques,Fantasy,4.04,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1311702426i/7999.jpg
Triss,Brian Jacques,Fantasy,4.01,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388786456i/8001.jpg
Laughter in the Dark,Vladimir Nabokov,Fiction,4.0,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1359043933i/8151.jpg
A Woman of Substance,Barbara Taylor Bradford,Fiction,4.2,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1330029941i/8155.jpg
Crow Lake,Mary Lawson,Fiction,4.0,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388187730i/8646.jpg
Shadow of the Giant,Orson Scott Card,Science Fiction,4.01,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1165699277i/8647.jpg
Fierce Invalids Home from Hot Climates,Tom Robbins,Fiction,4.04,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327866336i/8680.jpg
Jitterbug Perfume,Tom Robbins,Fiction,4.23,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388607752i/8682.jpg
"Life, the Universe and Everything",Douglas Adams,Science Fiction,4.17,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1333577589i/8694.jpg
